Certification Edition,CHPL ID,Listing Database ID,ONC-ACB Certification ID,Certification Date,Inactive As Of Date,Decertified As Of Date,Certification Status,ACB Name,Previous ACB Name,Developer Name,Developer Database ID,Vendor Street Address,Vendor City,Vendor State,Vendor Zip Code,Vendor Website,Self-developer,Vendor Contact Name,Vendor Contact Email,Vendor Contact Phone,Product Name,Product Database ID,Version,Version Database ID,Real World Testing Plans URL,Real World Testing Results URL,Total Surveillance Activities,Total Surveillance Non-conformities,Open Surveillance Non-conformities,Total Direct Review Activities,Total Direct Review Non-conformities,Open Direct Review Non-conformities,Medications,CPOE - Laboratory,CPOE - Diagnostic Imaging,Drug-Allergy Interaction,Demographics,Clinical Decision Support,Clinical Information Reconciliation and Incorporation,View Download and Transmit to 3rd Party,Transmission to Immunization Registries,Standardized API for Patient and Population Services
2015 Cures Update,15.02.05.2942.UNIL.01.02.0.211008,10699,15.02.05.2942.UNIL.01.02.0.211008,10/8/2021,,,Active,SLI Compliance,,UnisLink,1943,"21410 N 19th Ave, Ste 151",Phoenix,AZ,85027,http://www.unislink.com,No,Amit Lal,amit.l@unislink.com,602.457.7301,UnisLink iCMS (Intelligent Care Management Suite),2676,3,8381,https://www.unislink.com/onc-real-world-test-plans/,https://www.unislink.com/onc-real-world-test-plans/,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015 Cures Update,15.05.05.1947.BRID.01.00.0.180703,9540,15.05.05.1947.BRID.01.00.0.180703,7/3/2018,,,Active,SLI Compliance,,Bridge Patient Portal Inc.,948,5950 Sherry Lane #405,Dallas,TX,75225,https://www.bridgeinteract.io/,No,Josh Orueta,josh.o@bridgeinteract.io,425-296-2301,BridgeInteract,1610,3,7378,https://www.bridgeinteract.io/certifications/,https://www.bridgeinteract.io/certifications/,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
2015 Cures Update,15.04.04.2913.Prim.21.03.1.231003,11352,15.04.04.2913.Prim.21.03.1.231003,10/3/2023,,,Active,Drummond Group,,"Greenway Health, LLC",1914,"4301 West Boy Scout Boulevard, Suite 800",Tampa,FL,33607,https://www.greenwayhealth.com/,No,Sherry de Cuba,sherry.decuba@greenwayhealth.com,813-202-5582,Greenway Prime Suite,3230,v21,8563,https://www.greenwayhealth.com/about/awards-and-certifications,https://www.greenwayhealth.com/about/awards-and-certifications,1,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2015 Cures Update,15.04.04.3127.Civi.01.00.0.221129,11033,15.04.04.3127.Civi.01.00.0.221129,11/29/2022,,,Active,Drummond Group,,Kesz1 Technologies,2128,"41 Watchung Plaza, Suite 528",Montclair,NJ,7042,http://www.kesz1.com,Yes,Michael Keszkowski,michael@kesz1.com,2013449661,Civic Scheduler,3657,v1,8624,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015 Cures Update,15.04.04.1821.Alth.03.02.1.221205,11046,15.04.04.1821.Alth.03.02.1.221205,12/5/2022,,,Active,Drummond Group,,"MD Synergy Solutions, LLC",822,"4500 Park Granada, Suite #202",Calabasas,CA,91302,http://www.mdsynergy.com,No,Pushpa Thillai,pthillai@mdsynergy.com,(818) 914-3456,Althea Smart EHR,2962,Version 3.0,8634,https://mdsynergy.com/Disclosure/,https://mdsynergy.com/Disclosure/,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
2015 Cures Update,15.99.04.3119.AIDB.01.01.0.230101,11204,15.99.04.3119.AI01.01.01.0.230101,1/1/2023,,,Active,Drummond Group,,"Health Samurai, Inc.",2120,"3415 S. Sepulveda Blvd., Suite 1000",Los Angeles,CA,90034-3542,https://www.health-samurai.io/,No,Mikhail Kulakov,mk@health-samurai.io,(818) 731-1279,Aidbox FHIR API module,3640,1,8550,https://www.health-samurai.io/fhir-api#api-certification-details,https://www.health-samurai.io/fhir-api#api-certification-details,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2015 Cures Update,15.05.05.3098.MAGE.01.00.1.220127,10803,15.05.05.3098.MAGE.01.00.1.220127,1/27/2022,,,Active,SLI Compliance,,Magilen Enterprises Inc,2099,"1835 CLEVELAND ROAD,",MIAMI BEACH,Florida,33141,https://www.qsmartcare.com,No,"Steven Magilen, MD",smagilen@magilen.com,(305) 466 9988,QSmartCare,3604,1,8432,https://qsmartcare.com/real-world-testing.html,https://qsmartcare.com/real-world-testing.html,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015 Cures Update,15.04.04.2383.Stre.15.00.1.190417,9974,15.04.04.2383.Stre.15.00.1.190417,4/17/2019,,,Active,Drummond Group,,"StreamlineMD, LLC",1384,"111 Stow Avenue, Suite 200",Cuyahoga Falls,OH,44221,https://www.streamlinemd.com,No,Smitesh Shah,sshah@streamlinemd.com,732.658.9062,StreamlineMD EHR,2228,15,7742,https://streamlinemd.com/certified-ehr-software/,https://streamlinemd.com/certified-ehr-software/,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
2015 Cures Update,15.04.04.2002.EMA6.70.18.1.221129,11032,15.04.04.2002.EMA6.70.18.1.221129,11/29/2022,,,Active,Drummond Group,,Modernizing Medicine,1003,4850 Network Way Suite 200,Boca Raton,FL,33431,http://www.modmed.com,No,Ida Mantashi,Ida.mantashi@modmed.com,561-880-2988 x1524,EMA,1697,7,8623,https://www.modmed.com/2015-edition-certified-products/,https://www.modmed.com/2015-edition-cures-act-update/,3,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
2015 Cures Update,15.04.04.2790.Talk.01.01.1.181217,9799,15.04.04.2790.Talk.01.01.1.181217,12/17/2018,,,Active,Drummond Group,,"CareCloud, Inc.",1791,7 Clyde Road,Somerset,NJ,8873,http://www.carecloud.com,No,Adeel Sarwar,adeelsarwar@carecloud.com,(732) 336-1245,talkEHR,2709,Version 1.0,6500,https://www.talkehr.com/,https://www.talkehr.com/,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
